TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
ETQ5CM9;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;19;70;43 x 43;2;R$ 49,00
ETQ5CM17;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;19;40;53 x 53;2;R$ 43,00
ETQ5CM18;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;95;200;53 x 53;2;R$ 192,50
ETQ5CM19;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;247;520;53 x 53;2;R$ 483,50
ETQ5CM20;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;475;1000;53 x 53;2;R$ 911,50
ETQ5CM21;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;1178;2480;53 x 53;2;R$ 2.218,99
ETQ5CM22;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;2375;5000;53 x 53;2;R$ 4.403,99
ETQ5CM23;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;4750;10000;53 x 53;2;R$ 8.676,50
ETQ5CM24;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;9500;20000;53 x 53;2;R$ 17.099,99
ETQ5CM27;ADESIVOS;ADESIVO PAPEL - 80g;4X0;171;252;63 x 63;2;R$ 332,50
ETQ5CM25;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;19;28;63 x 63;2;R$ 42,00
ETQ5CM26;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;95;112;63 x 63;2;R$ 153,50
ETQ5CM28;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;342;504;63 x 63;2;R$ 650,50
ETQ5CM29;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;684;1008;63 x 63;2;R$ 1.276,50
ETQ5CM30;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;1691;2156;63 x 63;2;R$ 2.685,50
ETQ5CM31;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;3401;5012;63 x 63;2;R$ 6.145,50
ETQ5CM32;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;6802;8596;63 x 63;2;R$ 10.386,99
ETQ5CM33;ADESIVOS;TERMOMASK DARK FILM 3.0 - 30g;4X0;13585;20020;63 x 63;2;R$ 23.842,99
ETQ6CM1;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;104;33 x 33;2;R$ 13,00
ETQ6CM2;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;57;312;33 x 33;2;R$ 25,50
ETQ6CM3;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;520;33 x 33;2;R$ 34,50
ETQ6CM4;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;171;936;33 x 33;2;R$ 55,50
ETQ6CM5;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;361;1768;33 x 33;2;R$ 98,50
ETQ6CM6;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;817;4576;33 x 33;2;R$ 242,99
ETQ6CM7;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1634;9256;33 x 33;2;R$ 484,50
ETQ6CM8;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;3249;18408;33 x 33;2;R$ 955,50
ETQ6CM10;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;57;140;43 x 43;2;R$ 19,50
ETQ6CM11;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;133;420;43 x 43;2;R$ 39,50
ETQ6CM12;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;285;1050;43 x 43;2;R$ 90,50
ETQ6CM13;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;570;2100;43 x 43;2;R$ 170,50
ETQ6CM14;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1368;5040;43 x 43;2;R$ 392,99
ETQ6CM15;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;2736;10080;43 x 43;2;R$ 778,99
ETQ6CM16;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;5434;20020;43 x 43;2;R$ 1.539,99
ETQ6CM9;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;70;43 x 43;2;R$ 13,00
ETQ6CM17;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;40;53 x 53;2;R$ 13,00
ETQ6CM18;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;200;53 x 53;2;R$ 34,50
ETQ6CM19;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;247;520;53 x 53;2;R$ 80,50
ETQ6CM20;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;475;1000;53 x 53;2;R$ 141,50
ETQ6CM21;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1178;2480;53 x 53;2;R$ 339,99
ETQ6CM22;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;2375;5000;53 x 53;2;R$ 676,99
ETQ6CM23;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;4750;10000;53 x 53;2;R$ 1.347,50
ETQ6CM24;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;9500;20000;53 x 53;2;R$ 2.687,99
ETQ6CM25;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;28;63 x 63;2;R$ 12,00
ETQ6CM26;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;112;63 x 63;2;R$ 30,50
ETQ6CM27;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;252;63 x 63;2;R$ 55,50
ETQ6CM28;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;342;504;63 x 63;2;R$ 103,50
ETQ6CM29;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;684;1008;63 x 63;2;R$ 203,50
ETQ6CM30;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1691;2136;63 x 63;2;R$ 420,50
ETQ6CM31;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;3401;5012;63 x 63;2;R$ 966,50
ETQ6CM32;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;6802;8596;63 x 63;2;R$ 1.653,99
ETQ6CM33;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;13585;20020;63 x 63;2;R$ 3.839,99
ETQ9CM1;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;104;33 x 33;2;R$ 14,00
ETQ9CM2;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;57;312;33 x 33;2;R$ 27,50
ETQ9CM3;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;520;33 x 33;2;R$ 39,50
ETQ9CM4;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;171;936;33 x 33;2;R$ 64,50
ETQ9CM5;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;361;1768;33 x 33;2;R$ 108,50
ETQ9CM6;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;817;4576;33 x 33;2;R$ 269,99
ETQ9CM7;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1634;9256;33 x 33;2;R$ 538,50
ETQ9CM8;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;3249;18408;33 x 33;2;R$ 1.063,50
ETQ9CM10;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;57;140;43 x 43;2;R$ 20,50
ETQ9CM11;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;133;420;43 x 43;2;R$ 46,50
ETQ9CM12;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;285;1050;43 x 43;2;R$ 99,50
ETQ9CM13;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;570;2100;43 x 43;2;R$ 189,50
ETQ9CM14;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1368;5040;43 x 43;2;R$ 436,99
ETQ9CM15;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;2736;10080;43 x 43;2;R$ 865,99
ETQ9CM16;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;5434;20020;43 x 43;2;R$ 1.713,99
ETQ9CM9;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;70;43 x 43;2;R$ 14,00
ETQ9CM17;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;40;53 x 53;2;R$ 14,00
ETQ9CM18;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;200;53 x 53;2;R$ 39,50
ETQ9CM19;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;247;520;53 x 53;2;R$ 87,50
ETQ9CM20;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;475;1000;53 x 53;2;R$ 159,50
ETQ9CM21;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1178;2480;53 x 53;2;R$ 376,99
ETQ9CM22;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;2375;5000;53 x 53;2;R$ 752,99
ETQ9CM23;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;4750;10000;53 x 53;2;R$ 1.498,50
ETQ9CM24;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;9500;20000;53 x 53;2;R$ 2.989,99
ETQ9CM25;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;19;28;63 x 63;2;R$ 13,00
ETQ9CM26;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;112;63 x 63;2;R$ 33,50
ETQ9CM27;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;95;252;63 x 63;2;R$ 64,50
ETQ9CM28;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;342;504;63 x 63;2;R$ 117,50
ETQ9CM29;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;684;1008;63 x 63;2;R$ 224,50
ETQ9CM30;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;1691;2136;63 x 63;2;R$ 466,50
ETQ9CM31;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;3401;5012;63 x 63;2;R$ 1.075,50
ETQ9CM32;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;6802;8596;63 x 63;2;R$ 1.839,99
ETQ9CM33;ADESIVOS;ADESIVO BOPP BRANCO - 120g;4X0;13585;20020;63 x 63;2;R$ 4.272,99
ETQ10CM1;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;104;33 x 33;2;R$ 13,00
ETQ10CM2;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;57;312;33 x 33;2;R$ 26,50
ETQ10CM3;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;520;33 x 33;2;R$ 39,50
ETQ10CM4;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;171;936;33 x 33;2;R$ 64,50
ETQ10CM5;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;361;1768;33 x 33;2;R$ 114,50
ETQ10CM6;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;817;4576;33 x 33;2;R$ 285,99
ETQ10CM7;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1634;9256;33 x 33;2;R$ 571,50
ETQ10CM8;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;3249;18408;33 x 33;2;R$ 1.128,50
ETQ10CM10;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;57;140;43 x 43;2;R$ 20,50
ETQ10CM11;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;133;420;43 x 43;2;R$ 45,50
ETQ10CM12;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;285;1050;43 x 43;2;R$ 102,50
ETQ10CM13;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;570;2100;43 x 43;2;R$ 197,50
ETQ10CM14;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1368;5040;43 x 43;2;R$ 462,99
ETQ10CM15;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;2736;10080;43 x 43;2;R$ 918,99
ETQ10CM16;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;5434;20020;43 x 43;2;R$ 1.818,99
ETQ10CM9;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;70;43 x 43;2;R$ 13,00
ETQ10CM17;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;40;53 x 53;2;R$ 13,00
ETQ10CM18;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;200;53 x 53;2;R$ 39,50
ETQ10CM19;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;247;520;53 x 53;2;R$ 89,50
ETQ10CM20;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;475;1000;53 x 53;2;R$ 165,50
ETQ10CM21;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1178;2480;53 x 53;2;R$ 399,99
ETQ10CM22;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;2375;5000;53 x 53;2;R$ 798,99
ETQ10CM23;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;4750;10000;53 x 53;2;R$ 1.590,50
ETQ10CM24;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;9500;20000;53 x 53;2;R$ 3.173,99
ETQ10CM25;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;28;63 x 63;2;R$ 13,00
ETQ10CM26;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;112;63 x 63;2;R$ 32,50
ETQ10CM27;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;252;63 x 63;2;R$ 64,50
ETQ10CM28;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;342;504;63 x 63;2;R$ 121,50
ETQ10CM29;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;684;1008;63 x 63;2;R$ 235,50
ETQ10CM30;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1691;2136;63 x 63;2;R$ 495,50
ETQ10CM31;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;3401;5012;63 x 63;2;R$ 1.140,50
ETQ10CM32;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;6802;8596;63 x 63;2;R$ 1.951,99
ETQ10CM33;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;13585;20020;63 x 63;2;R$ 4.535,99
ETQ11CM1;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;104;33 x 33;2;R$ 14,00
ETQ11CM2;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;57;312;33 x 33;2;R$ 26,50
ETQ11CM3;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;520;33 x 33;2;R$ 39,50
ETQ11CM4;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;171;936;33 x 33;2;R$ 64,50
ETQ11CM5;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;361;1768;33 x 33;2;R$ 114,50
ETQ11CM6;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;817;4576;33 x 33;2;R$ 285,99
ETQ11CM7;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1634;9256;33 x 33;2;R$ 571,50
ETQ11CM8;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;3249;18408;33 x 33;2;R$ 1.128,50
ETQ11CM10;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;57;140;43 x 43;2;R$ 20,50
ETQ11CM11;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;133;420;43 x 43;2;R$ 48,50
ETQ11CM12;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;285;1050;43 x 43;2;R$ 102,50
ETQ11CM13;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;570;2100;43 x 43;2;R$ 200,50
ETQ11CM14;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1368;5040;43 x 43;2;R$ 462,99
ETQ11CM15;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;2736;10080;43 x 43;2;R$ 918,99
ETQ11CM16;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;5434;20020;43 x 43;2;R$ 1.818,99
ETQ11CM9;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;70;43 x 43;2;R$ 13,00
ETQ11CM17;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;40;53 x 53;2;R$ 13,00
ETQ11CM18;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;200;53 x 53;2;R$ 41,50
ETQ11CM19;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;247;520;53 x 53;2;R$ 89,50
ETQ11CM20;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;475;1000;53 x 53;2;R$ 165,50
ETQ11CM21;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1178;2480;53 x 53;2;R$ 399,99
ETQ11CM22;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;2375;5000;53 x 53;2;R$ 798,99
ETQ11CM23;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;4750;10000;53 x 53;2;R$ 1.590,50
ETQ11CM24;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;9500;20000;53 x 53;2;R$ 3.173,99
ETQ11CM25;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;19;28;63 x 63;2;R$ 14,00
ETQ11CM26;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;112;63 x 63;2;R$ 34,50
ETQ11CM27;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;95;252;63 x 63;2;R$ 64,50
ETQ11CM28;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;342;504;63 x 63;2;R$ 121,50
ETQ11CM29;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;684;1008;63 x 63;2;R$ 235,50
ETQ11CM30;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;1691;2136;63 x 63;2;R$ 495,50
ETQ11CM31;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;3401;5012;63 x 63;2;R$ 1.140,50
ETQ11CM32;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;6802;8596;63 x 63;2;R$ 1.951,99
ETQ11CM33;ADESIVOS;ADESIVO BOPP TRANSPARENTE COM TINTA BRANCA - 120g;4X0;13585;20020;63 x 63;2;R$ 4.535,99
ETQ12CM1;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;19;104;33 x 33;2;R$ 14,00
ETQ12CM2;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;57;312;33 x 33;2;R$ 27,50
ETQ12CM3;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;95;520;33 x 33;2;R$ 39,50
ETQ12CM4;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;171;936;33 x 33;2;R$ 61,50
ETQ12CM5;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;361;1768;33 x 33;2;R$ 110,50
ETQ12CM6;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;817;4576;33 x 33;2;R$ 273,99
ETQ12CM7;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;1634;9256;33 x 33;2;R$ 546,50
ETQ12CM8;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;3249;18408;33 x 33;2;R$ 1.079,50
ETQ12CM10;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;57;140;43 x 43;2;R$ 20,50
ETQ12CM11;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;133;420;43 x 43;2;R$ 46,50
ETQ12CM12;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;285;1050;43 x 43;2;R$ 98,50
ETQ12CM13;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;570;2100;43 x 43;2;R$ 188,50
ETQ12CM14;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;1368;5040;43 x 43;2;R$ 442,99
ETQ12CM15;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;2736;10080;43 x 43;2;R$ 878,99
ETQ12CM16;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;5434;20020;43 x 43;2;R$ 1.739,99
ETQ12CM9;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;19;70;43 x 43;2;R$ 14,00
ETQ12CM17;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;19;40;53 x 53;2;R$ 14,00
ETQ12CM18;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;95;200;53 x 53;2;R$ 37,50
ETQ12CM19;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;247;520;53 x 53;2;R$ 86,50
ETQ12CM20;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;475;1000;53 x 53;2;R$ 161,50
ETQ12CM21;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;1178;2480;53 x 53;2;R$ 382,99
ETQ12CM22;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;2375;5000;53 x 53;2;R$ 764,99
ETQ12CM23;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;4750;10000;53 x 53;2;R$ 1.521,50
ETQ12CM24;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;9500;20000;53 x 53;2;R$ 3.035,99
ETQ12CM25;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;19;28;63 x 63;2;R$ 13,00
ETQ12CM26;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;95;112;63 x 63;2;R$ 31,50
ETQ12CM27;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;95;252;63 x 63;2;R$ 61,50
ETQ12CM28;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;342;504;63 x 63;2;R$ 116,50
ETQ12CM29;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;684;1008;63 x 63;2;R$ 225,50
ETQ12CM30;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;1691;2136;63 x 63;2;R$ 473,50
ETQ12CM31;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;3401;5012;63 x 63;2;R$ 1.091,50
ETQ12CM32;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;6802;8596;63 x 63;2;R$ 1.867,99
ETQ12CM33;ADESIVOS;ADESIVO BOPP TRANSPARENTE - 120g;4X0;13585;20020;63 x 63;2;R$ 4.338,99
ETQ7CM1;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;19;104;33 x 33;2;R$ 14,00
ETQ7CM2;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;57;312;33 x 33;2;R$ 27,50
ETQ7CM3;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;95;520;33 x 33;2;R$ 40,50
ETQ7CM4;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;171;936;33 x 33;2;R$ 66,50
ETQ7CM5;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;361;1768;33 x 33;2;R$ 119,50
ETQ7CM6;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;817;4576;33 x 33;2;R$ 296,99
ETQ7CM7;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;1634;9256;33 x 33;2;R$ 592,50
ETQ7CM8;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;3249;18408;33 x 33;2;R$ 1.170,50
ETQ7CM10;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;57;140;43 x 43;2;R$ 20,50
ETQ7CM11;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;133;420;43 x 43;2;R$ 46,50
ETQ7CM12;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;285;1050;43 x 43;2;R$ 105,50
ETQ7CM13;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;570;2100;43 x 43;2;R$ 204,50
ETQ7CM14;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;1368;5040;43 x 43;2;R$ 479,99
ETQ7CM15;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;2736;10080;43 x 43;2;R$ 953,99
ETQ7CM16;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;5434;20020;43 x 43;2;R$ 1.886,99
ETQ7CM9;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;19;70;43 x 43;2;R$ 15,00
ETQ7CM17;ADESIVOS;ADESIVO METALIZADO VINIL COM TINTA BRANCA - 120g;4X0;19;40;53 x 53;2;R$ 14,00
